Idf	Chrom	Start	End	Length
1	1	0	195471971	195471971
2	2	0	182113224	182113224
3	3	0	160039680	160039680
4	4	0	156508116	156508116
5	5	0	151834684	151834684
6	6	0	149736546	149736546
7	7	0	145441459	145441459
8	8	0	129401213	129401213
9	9	0	124595110	124595110
10	10	0	130694993	130694993
11	11	0	122082543	122082543
12	12	0	120129022	120129022
13	13	0	120421639	120421639
14	14	0	124902244	124902244
15	15	0	104043685	104043685
16	16	0	98207768	98207768
17	17	0	94987271	94987271
18	18	0	90702639	90702639
19	19	0	61431566	61431566
