Idf	Chrom	Start	End	Length
1p	1	0	122026459	122026459
1q	1	124932724	248956422	124023698
2p	2	0	92188145	92188145
2q	2	94090557	242193529	148102972
3p	3	0	90772458	90772458
3q	3	93655574	198295559	104639985
4p	4	0	49712061	49712061
4q	4	51743951	190214555	138470604
5p	5	0	46485900	46485900
5q	5	50059807	181538259	131478452
6p	6	0	58553888	58553888
6q	6	59829934	170805979	110976045
7p	7	0	58169653	58169653
7q	7	61528020	159345973	97817953
8p	8	0	44033744	44033744
8q	8	45877265	145138636	99261371
9p	9	0	43389635	43389635
9q	9	45518558	138394717	92876159
10p	10	0	39686682	39686682
10q	10	41593521	133797422	92203901
11p	11	0	51078348	51078348
11q	11	54425074	135086622	80661548
12p	12	0	34769407	34769407
12q	12	37185252	133275309	96090057
13p	13	0	16000000	16000000
13q	13	18051248	114364328	96313080
14p	14	0	16000000	16000000
14q	14	18173523	107043718	88870195
15p	15	0	17083673	17083673
15q	15	19725254	101991189	82265935
16p	16	0	36311158	36311158
16q	16	36334460	90338345	54003885
17p	17	0	22813679	22813679
17q	17	26566633	83257441	56690808
18p	18	0	15460899	15460899
18q	18	20861206	80373285	59512079
19p	19	0	24498980	24498980
19q	19	27190874	58617616	31426742
20p	20	0	26436232	26436232
20q	20	30038348	64444167	34405819
21p	21	0	10864560	10864560
21q	21	12915808	46709983	33794175
22p	22	0	12954788	12954788
22q	22	15054318	50818468	35764150
